original_value,cleaned_value,status,justification,similarity_score,source_column
044089 N.-B. LTÉE - LE MONITEUR ACADIEN,044089 N. - B. LTÉE - LE MONITEUR ACADIEN,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
0747052 BC Ltd,0747052 BC Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
0822861 B.C. LTD,0822861 B.C. LTD.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
0901237 BC Ltd,0901237 BC Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1 MILL ROAD WINERY LTD,1 Mill Road Winery Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
10 CARDEN SHARED SPACE,10 Carden Shared Space,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1000128960 ONTARIO INC.,1000128960 Ontario Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
100570 P.E.I. Inc.|100570 P.E.I. Inc.,100570 P.E.I. Inc|100570 P.E.I. Inc,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1008824 B.C. LTD,1008824 B.C. LTD.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1008824 B.C. Ltd.,1008824 B.C. LTD.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
101497 PEI INC.,101497 PEI Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
101970 P.E.I Inc.|101970 P.E.I Inc.,101970 P.E.I. Inc.|101970 P.E.I. Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1034264 B.C. Ltd.,1034264 B.C. Ltd,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
105 GIBSON COMMUNITY CENTRE,105 Gibson Community Centre,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1067084 BC LTD,1067084 BC Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1163458 ALBERTA LTD,1163458 Alberta Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1163458 Alberta Ltd,1163458 Alberta Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1198054 B.C. LTD.,1198054 B.C. Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1230381 Ontario Inc.,1230381 Ontario inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1248978 Ontario Inc,1248978 Ontario Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
13849392 Canada inc,13849392 Canada inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1441211 Ontario Inc,1441211 Ontario Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1467317 Ontario Inc,1467317 Ontario Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
14926862 Canada inc. - S. Huot|14926862 Canada inc. - S. Huot,14926862 canada inc. - S.Huot|14926862 canada inc. - S.Huot,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1589574 Alberta Ltd.,1589574 Alberta Ltd,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
1907711 Alberta Ltd,1907711 Alberta Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2173-0130 Québec Inc.,2173-0130 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2219550 ALBERTA SOCIETY,2219550 Alberta Society,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2222425 Alberta Ltd,2222425 Alberta Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2255333 ONTARIO INC,2255333 Ontario Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2300674 Ontario Inc.,2300674 Ontario Inc,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2314932 AB Ltd.(Migo Ranch),2314932 AB Ltd. (Migo Ranch),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
